id,date,client_id,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc,errors,target,current_age,retirement_age,birth_year,birth_month,gender,address,latitude,longitude,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web
7593459,2010-01-31 09:53:00,1963,5418,$364.00,Online Transaction,3558,ONLINE,,,3640,,Yes,98,69,1921,11,Male,468 Spruce Street,38.35,-121.93,$26137,$33869,$370,821,7,Visa,Debit,4982128140473182,06/2020,133,YES,1,$29041,11/2004,2008,No
7484189,2010-01-03 09:29:00,346,5927,$639.78,Swipe Transaction,57386,San Francisco,CA,94104.0,3132,,No,90,74,1929,11,Female,495 Ocean View Lane,34.43,-119.68,$25249,$48580,$1785,687,7,Mastercard,Credit,5117389461118602,02/2024,711,NO,1,$11800,12/2008,2008,No
7581759,2010-01-28 08:30:00,14,2164,$46.43,Swipe Transaction,67450,Waipahu,HI,96797.0,5211,,No,79,57,1940,12,Female,2487 Martin Luther King Drive,21.39,-158.01,$21314,$32232,$21134,652,5,Visa,Debit,4610833826779556,04/2018,523,YES,2,$3899,03/2007,2008,No
7535487,2010-01-16 12:45:00,811,2079,$-243.00,Swipe Transaction,74934,Oakland,CA,94606.0,3596,,No,91,68,1929,2,Female,5492 Maple Drive,38.9,-94.68,$51642,$84694,$2149,741,7,Mastercard,Debit,5246337038556761,06/2021,638,YES,2,$30971,03/2005,2020,No
7520714,2010-01-12 14:05:00,1799,5909,$85.87,Swipe Transaction,3805,Woodinville,WA,98077.0,7230,,No,32,55,1987,4,Male,3249 12th Drive,47.75,-122.04,$51751,$105515,$192458,646,4,Visa,Debit,4461391532392446,02/2020,981,YES,2,$47372,12/2007,2008,No
7582746,2010-01-28 12:09:00,1492,2615,$30.32,Online Transaction,16798,ONLINE,,,4121,,No,63,58,1957,2,Female,2883 Ocean View Boulevard,47.32,-121.99,$32697,$56635,$13015,786,8,Visa,Debit (Prepaid),4860320285002452,12/2023,366,YES,2,$84,04/2009,2017,No
7529348,2010-01-14 16:50:00,1963,4565,$24.53,Online Transaction,16798,ONLINE,,,4121,,No,98,69,1921,11,Male,468 Spruce Street,38.35,-121.93,$26137,$33869,$370,821,7,Visa,Credit,4845860911762398,12/2023,234,YES,1,$20700,09/2004,2012,No
7476321,2010-01-01 09:10:00,1963,3317,$10.18,Swipe Transaction,88852,Vacaville,CA,95687.0,4121,,No,98,69,1921,11,Male,468 Spruce Street,38.35,-121.93,$26137,$33869,$370,821,7,Mastercard,Debit,5735308019363324,02/2024,502,YES,1,$25297,06/2006,2006,No
7500925,2010-01-07 12:35:00,1799,5909,$121.18,Swipe Transaction,3805,Woodinville,WA,98077.0,7230,,No,32,55,1987,4,Male,3249 12th Drive,47.75,-122.04,$51751,$105515,$192458,646,4,Visa,Debit,4461391532392446,02/2020,981,YES,2,$47372,12/2007,2008,No
7528559,2010-01-14 13:44:00,1963,5418,$23.67,Swipe Transaction,88852,Vacaville,CA,95687.0,4121,,No,98,69,1921,11,Male,468 Spruce Street,38.35,-121.93,$26137,$33869,$370,821,7,Visa,Debit,4982128140473182,06/2020,133,YES,1,$29041,11/2004,2008,No
7511041,2010-01-10 08:09:00,1963,5418,$24.13,Swipe Transaction,88852,Vacaville,CA,95687.0,4121,,No,98,69,1921,11,Male,468 Spruce Street,38.35,-121.93,$26137,$33869,$370,821,7,Visa,Debit,4982128140473182,06/2020,133,YES,1,$29041,11/2004,2008,No
7524369,2010-01-13 12:54:00,1963,4565,$26.11,Online Transaction,18563,ONLINE,,,4121,,No,98,69,1921,11,Male,468 Spruce Street,38.35,-121.93,$26137,$33869,$370,821,7,Visa,Credit,4845860911762398,12/2023,234,YES,1,$20700,09/2004,2012,No
7512393,2010-01-10 12:51:00,1203,3429,$23.01,Swipe Transaction,49637,Schenectady,NY,12306.0,3509,,No,36,62,1984,2,Male,5867 East Street,43.42,-73.71,$20371,$41537,$128044,582,1,Mastercard,Debit (Prepaid),5640678853508823,03/2023,57,YES,2,$70,06/2009,2009,No
7542264,2010-01-18 07:55:00,1963,3317,$20.75,Online Transaction,18563,ONLINE,,,4121,,No,98,69,1921,11,Male,468 Spruce Street,38.35,-121.93,$26137,$33869,$370,821,7,Mastercard,Debit,5735308019363324,02/2024,502,YES,1,$25297,06/2006,2006,No
7568828,2010-01-25 03:56:00,1963,3317,$155.58,Swipe Transaction,24450,Vacaville,CA,95687.0,4900,,No,98,69,1921,11,Male,468 Spruce Street,38.35,-121.93,$26137,$33869,$370,821,7,Mastercard,Debit,5735308019363324,02/2024,502,YES,1,$25297,06/2006,2006,No
7492965,2010-01-05 12:41:00,303,4194,$83.81,Swipe Transaction,60569,Brighton,CO,80601.0,5300,,No,94,66,1926,1,Male,93 Lafayette Boulevard,40.48,-104.9,$27185,$60080,$1807,690,6,Amex,Credit,387958574593201,08/2021,842,YES,1,$20000,08/2007,2020,No
7499374,2010-01-07 06:50:00,1659,185,$13.24,Swipe Transaction,83480,Wauconda,IL,60084.0,9402,,No,94,65,1926,1,Female,4570 Valley Stream Lane,42.26,-88.13,$28147,$40787,$1574,782,6,Visa,Credit,4199299822093543,09/2015,515,YES,2,$19100,01/2008,2008,No
7482284,2010-01-02 17:36:00,1475,5155,$59.19,Swipe Transaction,23481,Ewa Beach,HI,96706.0,5812,,No,98,60,1921,11,Female,412 Burns Drive,21.31,-158.01,$22778,$42306,$472,725,5,Mastercard,Debit,5253350118420216,08/2020,499,YES,1,$3614,10/2009,2009,No
7518529,2010-01-12 05:45:00,1171,4213,$420.47,Online Transaction,4802,ONLINE,,,4899,,No,90,67,1929,12,Male,73 Summit Street,21.4,-157.73,$26370,$39214,$0,781,5,Mastercard,Credit,5496928595053350,07/2023,165,YES,2,$13500,08/2007,2007,No
7567010,2010-01-24 13:44:00,1475,3746,$13.52,Swipe Transaction,11468,Ewa Beach,HI,96706.0,5970,,No,98,60,1921,11,Female,412 Burns Drive,21.31,-158.01,$22778,$42306,$472,725,5,Visa,Debit,4818828811526445,05/2024,311,YES,2,$9956,07/2005,2010,No
7560274,2010-01-22 18:20:00,811,2079,$40.01,Swipe Transaction,99416,Overland Park,KS,66221.0,7832,,No,91,68,1929,2,Female,5492 Maple Drive,38.9,-94.68,$51642,$84694,$2149,741,7,Mastercard,Debit,5246337038556761,06/2021,638,YES,2,$30971,03/2005,2020,No
7570586,2010-01-25 12:07:00,1475,1177,$6.85,Swipe Transaction,75936,Ewa Beach,HI,96706.0,5814,,No,98,60,1921,11,Female,412 Burns Drive,21.31,-158.01,$22778,$42306,$472,725,5,Mastercard,Debit,5123561690852830,05/2024,861,YES,1,$13378,02/2009,2009,No
7565539,2010-01-24 08:33:00,1330,2189,$16.11,Swipe Transaction,83480,Santa Barbara,CA,93109.0,9402,,No,65,61,1954,12,Female,35187 West Lane,34.4,-119.72,$33097,$35404,$30887,575,3,Mastercard,Debit,5075163198448769,10/2022,30,YES,2,$32557,03/2008,2008,No
7567234,2010-01-24 14:32:00,931,5847,$25.71,Swipe Transaction,96270,Memphis,TN,38117.0,7210,,No,34,73,1985,12,Male,2707 Main Boulevard,35.1,-90.0,$33974,$69270,$97114,540,1,Visa,Debit,4365224312490795,05/2022,190,YES,2,$21652,12/2005,2012,No
7475794,2010-01-01 07:02:00,1963,4565,$4.60,Swipe Transaction,78854,Vacaville,CA,95687.0,5411,,No,98,69,1921,11,Male,468 Spruce Street,38.35,-121.93,$26137,$33869,$370,821,7,Visa,Credit,4845860911762398,12/2023,234,YES,1,$20700,09/2004,2012,No
7537331,2010-01-16 22:25:00,1371,2070,$305.85,Swipe Transaction,59474,Moundsville,WV,26041.0,3722,,No,86,65,1933,6,Female,143 Catherine Boulevard,21.41,-157.79,$24516,$49529,$1385,689,6,Visa,Credit,4007064696917946,11/2022,478,YES,1,$17300,03/2004,2007,No
7518637,2010-01-12 06:27:00,303,4194,$40.00,Swipe Transaction,27092,Brighton,CO,80602.0,4829,,No,94,66,1926,1,Male,93 Lafayette Boulevard,40.48,-104.9,$27185,$60080,$1807,690,6,Amex,Credit,387958574593201,08/2021,842,YES,1,$20000,08/2007,2020,No
7540484,2010-01-17 16:19:00,1963,4565,$28.54,Swipe Transaction,88852,Vacaville,CA,95687.0,4121,,No,98,69,1921,11,Male,468 Spruce Street,38.35,-121.93,$26137,$33869,$370,821,7,Visa,Credit,4845860911762398,12/2023,234,YES,1,$20700,09/2004,2012,No
7526611,2010-01-14 06:35:00,1357,4488,$1.59,Swipe Transaction,83480,Tacoma,WA,98404.0,9402,,No,75,65,1944,12,Female,402 Birch Boulevard,47.2,-122.4,$16941,$11410,$0,812,7,Amex,Credit,323578133531197,06/2022,404,YES,1,$8000,09/1995,2003,No
7563205,2010-01-23 15:03:00,14,2164,$0.00,Swipe Transaction,27092,Honolulu,HI,96817.0,4829,,No,79,57,1940,12,Female,2487 Martin Luther King Drive,21.39,-158.01,$21314,$32232,$21134,652,5,Visa,Debit,4610833826779556,04/2018,523,YES,2,$3899,03/2007,2008,No
7517802,2010-01-11 19:09:00,1428,5116,$8.45,Swipe Transaction,96396,Atlanta,GA,30346.0,4121,,No,35,62,1984,11,Female,800 Ninth Boulevard,37.67,-92.66,$13963,$28472,$42750,508,1,Mastercard,Debit (Prepaid),5027529544926447,12/2022,25,YES,1,$47,10/2008,2016,No
7551737,2010-01-20 13:47:00,1963,3317,$29.99,Swipe Transaction,88852,Vacaville,CA,95687.0,4121,,No,98,69,1921,11,Male,468 Spruce Street,38.35,-121.93,$26137,$33869,$370,821,7,Mastercard,Debit,5735308019363324,02/2024,502,YES,1,$25297,06/2006,2006,No
7509140,2010-01-09 15:57:00,1428,5116,$10.28,Online Transaction,16798,ONLINE,,,4121,,No,35,62,1984,11,Female,800 Ninth Boulevard,37.67,-92.66,$13963,$28472,$42750,508,1,Mastercard,Debit (Prepaid),5027529544926447,12/2022,25,YES,1,$47,10/2008,2016,No
7503435,2010-01-08 07:35:00,1576,5821,$60.16,Swipe Transaction,95598,Waterford,MI,48329.0,7230,,No,88,65,1932,1,Female,2947 Lake Lane,42.66,-83.38,$24578,$36764,$839,712,8,Visa,Debit (Prepaid),4585785809501379,09/2020,821,YES,1,$70,12/2004,2007,No
7538437,2010-01-17 08:52:00,1963,3364,$22.76,Swipe Transaction,88852,Vacaville,CA,95687.0,4121,,No,98,69,1921,11,Male,468 Spruce Street,38.35,-121.93,$26137,$33869,$370,821,7,Visa,Debit,4714171193381622,11/2024,214,YES,1,$18384,06/2007,2009,No
7542231,2010-01-18 07:50:00,1371,2070,$0.26,Swipe Transaction,75781,Kaneohe,HI,96744.0,5411,,No,86,65,1933,6,Female,143 Catherine Boulevard,21.41,-157.79,$24516,$49529,$1385,689,6,Visa,Credit,4007064696917946,11/2022,478,YES,1,$17300,03/2004,2007,No
7483920,2010-01-03 08:31:00,797,2839,$4.83,Swipe Transaction,75781,Honolulu,HI,96826.0,5411,,No,61,69,1958,9,Female,7945 Fourth Avenue,21.3,-157.85,$30410,$62005,$149968,651,9,Mastercard,Debit,5326004022460542,04/2023,904,YES,1,$36309,05/2003,2006,No
